,date,content
27,2022-10-19 18:19:04+00:00,@adeshguptabjp रिहयशी इलाके मे दारू के ठेके तो BJP शाशित राज्य में भी है उत्तर प्रदेश या हरियाणा गुजरात वहा कौन से जंगल मे है गुजरात मे तो लोग दारू पी कर मर गए ये कुछ ही दिन पहले की घटना है
28,2022-10-19 18:18:45+00:00,"Theatrics: Beti Bachao, Beti Padhao

Reality: pitaji ashirwad barshao

Ye bh@&amp;wa ""Pitaji"" kaisa ashirwad barsata hai sab janta hai , aur ab in @BJP4India waalo ko ashirwad chahiye baki aap khud samjhdar ho https://t.co/hKVSE8dSBc"
29,2022-10-19 18:18:35+00:00,"आज हमले राजा बाबू स्कूल में भी पढ़ने गये। #BJP के कुछ एक लोगों ने मिलकर जबरदस्ती स्कूल भेजा।
@narendramodi क्या है यह सब? देश क्या इस तुकबंदी से चलाओगे। बहुत हद नही हो गयी, अब आप आराम करलो पपु राजा। https://t.co/5r5EqEKr9n"
30,2022-10-19 18:18:15+00:00,@iamnikunjshah He is better in Cong as BJP man
31,2022-10-19 18:18:07+00:00,@BJP4India @narendramodi How can we rejoice when your goverment release convicts of rape and murder in heinous crime .
32,2022-10-19 18:18:05+00:00,https://t.co/weRgirnucc #bjp4ballia #bjp #BJPModiFailed #BJPRuinedPMC #SupremeCourtOfIndia #PMOIndia #AmitMalviya #SambitPatra #HindusUnderAttack #Hindutva #Hindus #
33,2022-10-19 18:17:58+00:00,Very fair questions. BJP is getting into political difficulties that could prove costly by 2024 https://t.co/6dzrYCQgwZ
34,2022-10-19 18:17:53+00:00,"@bharatjodo Now it's time for #UPSCExtraAttempt

The arrogance of @DrJitendraSingh &amp; ignorance of @narendramodi @JPNadda @AmitShah and, hardwork &amp; dedication of @RahulGandhi @INCIndia is going to cost BJP very much

@BJP4India have made fun of students, they'll see what will happen to them."
35,2022-10-19 18:17:42+00:00,"@bharatjodo @RahulGandhi @INCIndia Now it's time for #UPSCExtraAttempt

The arrogance of @DrJitendraSingh &amp; ignorance of @narendramodi @JPNadda @AmitShah and, hardwork &amp; dedication of @RahulGandhi @INCIndia is going to cost BJP very much

@BJP4India have made fun of students, they'll see what will happen to them."
36,2022-10-19 18:17:15+00:00,"कोई और करे तो रेवड़ी
और खुद करें तो जनसेवा 

जनता सब समझती है,ये चोचले
सभी पार्टियां करती हैं खाने को राजनीतिक मेवा।
@BJP4India 
@AamAadmiParty https://t.co/S8oGfFwqfA"
37,2022-10-19 18:17:00+00:00,"""भारत की सरकार को इस मामले के तह तक जाना चाहिए""

#WATCH: https://t.co/80b0IH5NY4 

#abuttarchahiye #ManishSisodia  @Aamitabh2 @msisodia @ArvindKejriwal @BJP4Delhi @BJP4India @AamAadmiParty https://t.co/60ZWWSi7Cv"
38,2022-10-19 18:15:04+00:00,BJP का ही वोट काटेगी 👍🌷👍 https://t.co/5599QgXHdS
39,2022-10-19 18:13:38+00:00,"@PawanKYadavBJP भागलपुर से कहलगांव NH-80 का क्या ??? बिहार की जो हालत है उसके ज़िम्मेदार BJP भी कुछ हद तक है जनाब, क्यूँकि उसे पहले ही JDU को पहचान लेना था॥"
