,date,content
28,2022-10-19 17:37:06+00:00,@Gulshan_Sharma7 @aksharmaBharat @RSSorg @narendramodi @JPNadda @myogiadityanath @Bhupendraupbjp @RajKSinghIndia @sunilbansalbjp @BJP4India @BJP4UP @UPGovt @PMOIndia @MinOfPower @RadhamohanBJP @AmitShah @isomendratomar आपको हुई असुविधा के लिए हमें खेद हैं। आपकी बेहतर सहायता हेतु हम शीघ्र ही आपसे संपर्क करेंगे। धन्यवाद। @PVVNLHQ #upn191022
29,2022-10-19 17:32:56+00:00,@drdineshbjp @narendramodi @JPNadda @AmitShah @myogiadityanath @idharampalsingh @BJP4India @BJP4UP आपका कार्य अति सराहनीय है आप अंतिम व्यक्ति के लिए सदैव खड़े रहते हैं यह सच्चाई है
30,2022-10-19 17:32:50+00:00,"@BhriguVishwaka2 @aksharmaBharat @narendramodi @JPNadda @myogiadityanath @idharampalsingh @Bhupendraupbjp @NagarVikasUP @sunilbansalbjp @BJP4India @BJP4UP @PMOIndia @UPGovt @HardeepSPuri @RSSorg आपको हुई असुविधा के लिए हमें खेद हैं। आपकी बेहतर सहायता हेतु कृपया अपनी शिकायत संख्या साझा करें, धन्यवाद। #upn191022"
31,2022-10-19 17:32:21+00:00,"RSS, Bajrang Dal, VHP, Hindu Mahasabha, Sudarsan News, Pushpendra Kulshreshtha, BJP IT CELL"
32,2022-10-19 17:31:52+00:00,"#Ban_all_content_of_Durlabh_kashyap
#hypersensitive_matter
#स्वच्छ_भारत_सर्वोत्तम_भारत
सभ्य समाज व सभ्य राष्ट्र निर्माण में अति आवश्यक पहलू,
@ShishirGoUP 
@GoI_MeitY 
@myogioffice 
@BJP4India 
@BJP4UP 
@SeemaDwivediMP 
@RameshMishraMLA https://t.co/gj5XONGbMT"
33,2022-10-19 17:31:29+00:00,@Abhishekayo @myogioffice @myogiadityanath @BJP4UP @BJP4India Achanak??? Kuch bhi
34,2022-10-19 17:30:21+00:00,"@Rakesh_Sachan_ @BJP4India @BJP4UP @BJPMahilaMorcha @anooppradhanbjp निःसंदेह,, सराहनीय मुलाकात,, बधाई।"
35,2022-10-19 17:30:09+00:00,"@UPPCLLKO @Upendraraiupen1 @aksharmaBharat @narendramodi @JPNadda @myogiadityanath @idharampalsingh @Bhupendraupbjp @NagarVikasUP @sunilbansalbjp @BJP4India @BJP4UP @PMOIndia @UPGovt @HardeepSPuri @RSSorg कृपया अपना संपर्क नंबर साझा करें ताकि उचित कार्यवाही की जा सके। #1912PUVVNL19102022
@puvvnlsknagar"
36,2022-10-19 17:29:09+00:00,@ArunPrayagi @RadhamohanBJP @swatantrabjp @idharampalsingh @BJP4Telangana @BJP4India @BJPMahilaMorcha @gauravbh 🙏🙏🙏
37,2022-10-19 17:28:51+00:00,@SubhamS65303467 @RadhamohanBJP @swatantrabjp @idharampalsingh @BJP4Telangana @BJP4India @BJPMahilaMorcha @gauravbh धन्यवाद जी
38,2022-10-19 17:28:26+00:00,Telangana: BJP creates ruckus over Hindu women ‘forcing’ to remove mangalsutra at exam center https://t.co/CKP395tuiF
39,2022-10-19 17:28:07+00:00,@rekhavermabjp @blsanthosh @BJP4India @BJP4UP @swatantrabjp @myogiadityanath @JPNadda @ArunSinghbjp @dpradhanbjp @dharampalbjpmla @narendramodi @AmitShah https://t.co/qMyex0WeS7
40,2022-10-19 17:28:05+00:00,"गोंडा BJP सांसद ने अशरफपुर स्थित महाविद्यालय में छात्रों को निशुल्क स्मार्टफोन,टेबलेट वितरण कर दी शुभकामनाएं https://t.co/hzsCjAeoz7

अपने क्षेत्र मनकापुर की खबरों के लिए डाउनलोड करें पब्लिक (Public) ऐप https://t.co/sSJRR85tT6"
41,2022-10-19 17:27:43+00:00,@ShyamMeeraSingh Bjp Kewal desh bechne ki taiyari kar rahi hai
42,2022-10-19 17:27:25+00:00,जय श्रीराम @HarishD_BJP जी https://t.co/4ZxT36gbna
43,2022-10-19 17:25:00+00:00,@aksharmaBharat @narendramodi @JPNadda @myogiadityanath @idharampalsingh @Bhupendraupbjp @NagarVikasUP @sunilbansalbjp @BJP4India @BJP4UP @PMOIndia @UPGovt @HardeepSPuri @RSSorg https://t.co/TiAxQnOTiE
44,2022-10-19 17:24:54+00:00,मेरठ सर्किट हाउस में श्री सुनील शर्मा गौतमबुद्ध नगर भाजपा नेता ने भगवान श्री कृष्ण जी भेंट किए उनका आभार व्यक्त किया @sunilbansalbjp @BJP4India @BJP4UP @myogiadityanath @AmitShah @drdineshbjp @blsanthosh @narendramodi @dpradhanbjp https://t.co/F90NaTprPi
45,2022-10-19 17:24:13+00:00,@Upendraraiupen1 @aksharmaBharat @narendramodi @JPNadda @myogiadityanath @idharampalsingh @Bhupendraupbjp @NagarVikasUP @sunilbansalbjp @BJP4India @BJP4UP @PMOIndia @UPGovt @HardeepSPuri @RSSorg @PuVVNLHQ  शिकायत को संज्ञान में लेकर उचित कार्यवाही करें।  #upn191022
46,2022-10-19 17:24:12+00:00,@IYogeshDhama @BJP4India @BJP4UP @AmitShah @narendramodi @JPNadda @myogiadityanath @RadhamohanBJP @dpradhanbjp @MohitBeniwalBJP @swatantrabjp Jai ho विधायक ji 🙏
47,2022-10-19 17:21:49+00:00,"#mallikaarjunkhdge
#congress
#BJP #meme #bollywood

मिलिए कांग्रेस पार्टी के नए प्रेसिडेंट मल्लिका अर्जुन जी से 😭😭🤣🤣 https://t.co/xMMxCqzCIm"
48,2022-10-19 17:21:47+00:00,@kushsingh_1111 @mSinghShashank @brajeshlive @AWADHESHKT_BJP @Shakunsinghbjp @anujsingh4bjp @komalnigam0503 @sengarlive @nishucngh @BJYM4UP @BJP4UP 💐💐
49,2022-10-19 17:20:28+00:00,"Breaking News - Former Congress MLA from Banjar Aditya Vikram Singh joins BJP. 

BJP has already announced candidate but with backing of his personal supporters BJP will win this seat easily. https://t.co/rL9qN0xl6f"
50,2022-10-19 17:17:51+00:00,"जनपद प्रतापगढ़ के CHC, दीवानगंज  में ताला बंद होने व कभी न खुलने संबंधी सोशल मीडिया पर वायरल खबर का संज्ञान लेते हुए मैंने CMO, प्रतापगढ़ को उक्त के संबंध में स्पष्टीकरण सहित रिपोर्ट एक सप्ताह में उपलब्ध कराये जाने के आदेश दिये हैं।
@PMOIndia 
@BJP4India 
@BJP4UP 
@CMOfficeUP"
51,2022-10-19 17:13:40+00:00,@PranshuDutt @PMOIndia @myogiadityanath @BJP4India @swatantrabjp @dpradhanbjp @narendramodi @RadhamohanBJP जय हो
52,2022-10-19 17:13:13+00:00,@BJP4India @narendramodi देश बेचकर खा रहा है ।
53,2022-10-19 17:12:46+00:00,@LKBajpaiBJP @narendramodi @PMOIndia @AmitShah @JPNadda @BJP4India @BJP4Gujarat जय हो
54,2022-10-19 17:12:41+00:00,"@AkshitaR_ @Sanyasin_1 @ISKCON_Dwarka @tntourismoffcl @SanataniPurnima @Munnidevi_BJP @Arunk750 @yajnshri @SinghVatsala19 @KrishnaDharma @Vadicwarrior @Akhilesh848161 https://t.co/Zyory7DflC
लाइक करें या न करें पर वीडियो पूरा अवश्य देखें यदि आपने मेरे चैनल को सब्सक्राइब नहीं किया है तो कृपया मेरे यू ट्यूब चैनल को सब्सक्राइब करें अच्छा लगे तो कॉपी करके अपने मित्रों व सम्पर्कों मे भेजें- 🙏🏻जय भोले नाथ🙏🏻"
55,2022-10-19 17:11:49+00:00,पवित्र धाम वृन्दावन में स्वामी हरिदास जी की तपोस्थली 'टटिया स्थान' में दर्शन-पूजन कर सबकी सुख-समृद्धि एवं आरोग्य की कामना की। @BJP4India @BJP4UP https://t.co/kM7AXsgHEc
56,2022-10-19 17:11:33+00:00,"जय श्रीराम 
@AshishSingh_BJP https://t.co/BAOiPb62W4"
57,2022-10-19 17:11:32+00:00,@AshutoshMla166 @BJP4India @BJP4UP @narendramodi @PMOIndia @JPNadda @sunilbansalbjp @myogiadityanath @AmitShah @dpradhanbjp @rajnathsingh 🙏🙏💐💐
58,2022-10-19 17:11:11+00:00,"@GLSHARMAINDIA @OfficeOfKPM @kpmaurya1 @DyCMGoUP @BJP4UP @UPGovt @UpRuralDev @PMOIndia @BJP4India महोदय जी एक बार हर ग्राम सभा मे अचानक निरीक्षण किया जाए किस ग्राम सभा में  कितना पैसा आया क्या सच मे ग्राम सभा मे वो नाली रोड बनवाया गया या सिर्फ कागज में रह गया ,बनवाया गया तो कितना ,ग्राम सभा की जमीनी सच्चाई बता रहे है ,"
59,2022-10-19 17:10:40+00:00,"@Sharmalaxmanpr1 @YogiDevnath2 @beingarun28 इससे एक बात और सिद्ध होती है की भाजपा ने भी रामनाथ कोविंद और द्रौपति मुर्मू को राष्ट्रपति बनाकर यही रिमोट कंट्रोल कर रहा है। और RSS , BJP  को कंट्रोल कर रही है।"
60,2022-10-19 17:08:50+00:00,@adeshguptabjp @narendramodi Fake BJP and their Fake propoganda.! https://t.co/nxpRTF4yQL
61,2022-10-19 17:08:40+00:00,@palankit79 @Bambalal_BJP बधाई
62,2022-10-19 17:08:28+00:00,Himachal Update - Pandit Sukhram’s grandson Ashray Sharma joins BJP in presence of JP Nadda.
63,2022-10-19 17:08:07+00:00,@Archana_4BJP @geetashakyaUP @BJP4India @BJP4UP @Bhupendraupbjp @BJPMahilaMorcha @idharampalsingh @NamrataChaura17 महिला मोर्चा जिन्दाबाद
64,2022-10-19 17:06:21+00:00,"@aajtak @abplive @ndtvindia 

@BJP4India @nsitharaman @ianuragthakur 

@INCIndia @RahulGandhi 

@ArvindKejriwal @manishsisodia90 

@samajwadiparty 

@BandBajaateRaho https://t.co/PESetJ2GAU"
65,2022-10-19 17:06:14+00:00,@AAPDelhi @ipathak25 #BJP khud kuda hai to vo kuda kyun hatayegi?
66,2022-10-19 17:06:10+00:00,@NishaaSingh0 @ABPNews Are didi ji ye to bjp ki pravakta ban gayi hai
67,2022-10-19 17:04:26+00:00,"27 saal se state government me hii BJP, 8 saal se PM..... Abhi exhibition se hi picture lena pde to lanat hii https://t.co/7GDsE9bKT9"
68,2022-10-19 17:04:05+00:00,"जन्मजात झुटे है ये BJP वाले इन्होंने तो बांग्लादेश के स्वंत्रता संग्राम में भी थे,😀,वो तो अच्छा है यूक्रेन रूस युद्ध अभी हमने देखा है वरना ये भी बोलने में न चूकते की यूक्रेन को हमने ही बचाया है वरना  खत्म था युक्रेन 🤣,मतलब कुछ भी 🙄 @KhadedaHobe @Abhishe47370575 @parimal2016 https://t.co/DkmLtE8BNP"
69,2022-10-19 17:02:09+00:00,@bjpdrmahendra @BJP4India @BJPLive @BJP4UP @BJP4Tripura Your dynamism is emulative. God Bless You.
70,2022-10-19 16:57:51+00:00,@nitinagarwalINC @NewsDiggy BJP का छोटा रिचार्ज आम आदमी पार्टी
71,2022-10-19 16:57:48+00:00,"@dearestamma देश भर के जेल गरीब_ग्रामीण से भरे पड़े हैं।छोटे छोटे मुकदमों हेतु जमानत के पैसे नहीं हैं।करोड़ों डकारने वालों का मिनटों में जमानत होता है।
धन्य है देश के संविधान का समान अधिकार!
@AshwiniUpadhyay 
@BJP4India"
72,2022-10-19 16:56:30+00:00,"@myogioffice @myogiadityanath @BJP4UP @BJP4India
@Abhishekayo
@advoankitpandey
@naveenjindalbjp
@CMOfficeUP
@brajeshpathakup
@kpmaurya1
@OfficeOfKPM
@news24tvchannel
@myogiadityanath
@BJP4India
@VedPrakashBJP
@UptvA
@suniltiwari5646
@epanchjanya
@naveenjindalbjp
@HariomTiwori https://t.co/3EyVnvh3qy"
73,2022-10-19 16:56:28+00:00,Gujarat News - Kerala based startup signs agreement with BJP Govt to set up floating solar power plants.
74,2022-10-19 16:56:05+00:00,"@anujakapurindia @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
75,2022-10-19 16:55:20+00:00,"@_AltafAnsari @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
76,2022-10-19 16:55:00+00:00,"@sambitswaraj @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
77,2022-10-19 16:54:39+00:00,"@milindkhandekar @jaiswalvinay906 @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
78,2022-10-19 16:54:25+00:00,@idharampalsingh @PurandeswariBJP @Bhupendraupbjp @BJP4India @BJP4UP जय श्री राम
79,2022-10-19 16:54:14+00:00,"राजनीतिक रणनीतिकार प्रशांत किशोर का दावा है कि बिहार के सीएम नीतीश कुमार बीजेपी के संपर्क में हैं और अगर स्थिति की मांग हुई तो वह फिर से उस पार्टी के साथ गठजोड़ कर सकते हैं JDU ने सुझाव को भ्रामक और भ्रम फैलाने के उद्देश्य से खारिज किया

@PrashantKishor #Jdu #BJP https://t.co/3TqXIenpAk"
80,2022-10-19 16:54:01+00:00,"@AmitShah सादर प्रणाम करते हैं 💐💐🙏🚩
ओनली Modi ओनली bjp 💐🚩🙏"
81,2022-10-19 16:53:47+00:00,"@BJP4India @narendramodi @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
82,2022-10-19 16:53:20+00:00,"@hsgmla @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
83,2022-10-19 16:53:04+00:00,"@SahirDoshi @moefcc Central govt diverted 1 lac hecatres forest land in last 8 years
Only 2 tiger reserve notified that too file send by non bjp govt"
84,2022-10-19 16:52:56+00:00,"@YogiDevnath2 @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
85,2022-10-19 16:52:38+00:00,"@sushilmishra01 @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
86,2022-10-19 16:52:26+00:00,@bjpdrmahendra @BJP4India @BJPLive @BJP4UP @BJP4Tripura हार्दिक स्वागत और शुभकामनाएँ 💐💐💐🚩🙏
87,2022-10-19 16:52:23+00:00,"@Sadhvi_prachi @BJP4India अब  रेपिस्टों को साथ लेकर चल रही ताकि पंचायत चुनाव जीते देखे दोगलों को 
#रिमोट_वाला_पीएम
https://t.co/QMial1Uukp"
88,2022-10-19 16:49:15+00:00,"Hypocrisy ki bhi Seema 
hoti hai🤪🤣💔 
#BJP https://t.co/A7dKoOy6pv"
89,2022-10-19 16:47:57+00:00,"@puvvnlsdnagar 
ओनली Modi 💐💐🚩🚩🙏🙏
ओनली yogi 💐💐🚩🚩🙏
ओनली bjp 💐💐💐🚩🚩🙏"
90,2022-10-19 16:45:11+00:00,"@HarishD_BJP सादर प्रणाम करते हैं भाई साहब 💐💐💐🙏🚩
ओनली Modi ओनली bjp 💐🙏🚩"
91,2022-10-19 16:44:57+00:00,@AngadLambhua @narendramodi @myogiadityanath @AmitShah @rajnathsingh @kpmaurya1 @JPNadda @swatantrabjp @sunilbansalbjp @BJP4UP @BJP4India 👌
92,2022-10-19 16:44:49+00:00,"@aajtak @SwetaSinghAT Ye sab dogle hain gujrat main ayegi to bjp hi ye kya brabari krenge pm ki wo tb se politics m h jb se na ye the or na inki party 
Desh main Kai aese bde bde kam hue hain jinka credit sirf or sirf honourable pm modi ji ko hi jata Hain Jo kam pm ne kiye wo ye kbi nhi kr skte ."
93,2022-10-19 16:44:32+00:00,"प्रधानमंत्री श्री @narendramodi जी के 20 अक्टूबर, 2022 को गुजरात में सार्वजनिक कार्यक्रम।
@BJP4Gujarat
@BJP4India 
@BJP4UP https://t.co/az5KSllpKS"
94,2022-10-19 16:44:12+00:00,@HarishD_BJP @narendramodi ओनली Modi ओनली bjp 💐🙏🙏🚩
95,2022-10-19 16:41:43+00:00,@UPPCLLKO @aksharmaBharat @RSSorg @narendramodi @JPNadda @myogiadityanath @Bhupendraupbjp @sunilbansalbjp @BJP4India @BJP4UP @RadhamohanBJP @MinOfPower @RajKSinghIndia @UPGovt @PMOIndia पर वहां पर जाओ तो वो लोग कोई जवाब नही देते
96,2022-10-19 16:39:54+00:00,@BJP4Tripura @PratimaBhoumik @sambitswaraj ओनली Modi ओनली bjp 💐💐🙏🚩🚩
97,2022-10-19 16:39:51+00:00,"@SachinS62373717 @aksharmaBharat @RSSorg @narendramodi @JPNadda @myogiadityanath @Bhupendraupbjp @sunilbansalbjp @BJP4India @BJP4UP @RadhamohanBJP @MinOfPower @RajKSinghIndia @UPGovt @PMOIndia महोदय, विद्युत बिल संबंधित किसी भी संशय के निवारण हेतु कृपया अपने विद्युत उपखण्ड कार्यालय में सम्पर्क करें। आपको हुई असुविधा के लिए खेद है। #upn191022"
98,2022-10-19 16:39:48+00:00,"@rajnathsingh जी
बोलते कम हैं…
करते ज़्यादा हैं
मज़बूती के साथ…
@narendramodi जी
#BJP4UP
@NeerajSinghSays @PankajSinghBJP @YogeshAttray @yogeshshuklabkt @BJP4India @BJP4UP @Bjp4Awadh https://t.co/4rKVjyCtX3"
99,2022-10-19 16:37:48+00:00,"@aksharmaBharat @UPPCLLKO @RSSorg @narendramodi @JPNadda @myogiadityanath @Bhupendraupbjp @sunilbansalbjp @BJP4India @BJP4UP @RadhamohanBJP @MinOfPower @RajKSinghIndia @UPGovt @PMOIndia महोदय जी मेरा बिल ज्यादा हो गया है परन्तु
हम लोग जाम नही कर पा रहे सर"
